"filename", "language", "JavaScript", "Markdown", "JavaScript JSX", "XML", "JSON", "TypeScript", "JSON with Comments", "PostCSS", "comment", "blank", "total"
"e:\Web_Development\Project\deepseak\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\Web_Development\Project\deepseak\app\api\chat\ai\route.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 3, 24, 96
"e:\Web_Development\Project\deepseak\app\api\chat\create\route.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"e:\Web_Development\Project\deepseak\app\api\chat\delete\route.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"e:\Web_Development\Project\deepseak\app\api\chat\get\route.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"e:\Web_Development\Project\deepseak\app\api\chat\rename\route.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"e:\Web_Development\Project\deepseak\app\api\clerk\route.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 12, 52
"e:\Web_Development\Project\deepseak\app\api\deepseek\route.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"e:\Web_Development\Project\deepseak\app\api\webhooks\clerk\route.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"e:\Web_Development\Project\deepseak\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 22, 0, 6, 28
"e:\Web_Development\Project\deepseak\app\layout.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"e:\Web_Development\Project\deepseak\app\page.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 12, 91
"e:\Web_Development\Project\deepseak\app\prism.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 218, 9, 48, 275
"e:\Web_Development\Project\deepseak\assets\arrow_icon.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"e:\Web_Development\Project\deepseak\assets\arrow_icon_dull.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"e:\Web_Development\Project\deepseak\assets\assets.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"e:\Web_Development\Project\deepseak\assets\chat_icon.svg", "XML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"e:\Web_Development\Project\deepseak\assets\chat_icon_dull.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"e:\Web_Development\Project\deepseak\assets\copy_icon.svg", "XML", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"e:\Web_Development\Project\deepseak\assets\deepthink_icon.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Web_Development\Project\deepseak\assets\delete_icon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\Web_Development\Project\deepseak\assets\dislike_icon.svg", "XML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"e:\Web_Development\Project\deepseak\assets\like_icon.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\Web_Development\Project\deepseak\assets\logo_icon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\Web_Development\Project\deepseak\assets\logo_text.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"e:\Web_Development\Project\deepseak\assets\menu_icon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\Web_Development\Project\deepseak\assets\new_icon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Web_Development\Project\deepseak\assets\pencil_icon.svg", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\Web_Development\Project\deepseak\assets\phone_icon.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Web_Development\Project\deepseak\assets\phone_icon_dull.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"e:\Web_Development\Project\deepseak\assets\pin_icon.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"e:\Web_Development\Project\deepseak\assets\profile_icon.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"e:\Web_Development\Project\deepseak\assets\regenerate_icon.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"e:\Web_Development\Project\deepseak\assets\search_icon.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\Web_Development\Project\deepseak\assets\sidebar_close_icon.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"e:\Web_Development\Project\deepseak\assets\sidebar_icon.svg", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"e:\Web_Development\Project\deepseak\assets\three_dots.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\Web_Development\Project\deepseak\componenets\ChatLabel.jsx", "JavaScript JSX", 0, 0, 91, 0, 0, 0, 0, 0, 0, 19, 110
"e:\Web_Development\Project\deepseak\componenets\Message.jsx", "JavaScript JSX", 0, 0, 133, 0, 0, 0, 0, 0, 2, 7, 142
"e:\Web_Development\Project\deepseak\componenets\PromptBox.jsx", "JavaScript JSX", 0, 0, 142, 0, 0, 0, 0, 0, 6, 26, 174
"e:\Web_Development\Project\deepseak\componenets\Sidebar.jsx", "JavaScript JSX", 0, 0, 79, 0, 0, 0, 0, 0, 0, 16, 95
"e:\Web_Development\Project\deepseak\config\db.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\Web_Development\Project\deepseak\context\AppContext.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 3, 17, 87
"e:\Web_Development\Project\deepseak\eslint.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"e:\Web_Development\Project\deepseak\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"e:\Web_Development\Project\deepseak\middleware.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 2, 2, 12
